Brand,Product,Product Type,Price,Rating,Image URL
HOURGLASS,Vanish Seamless Finish Foundation Stick,Foundation,46.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2575932?id=feEb70&fmt=jpg&fit=constrain,1&wid=190&hei=361&op_sharpen=1&resMode=bilin"
L'Oréal,Infallible Fresh Wear 24HR Foundation,Foundation,14.99 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2538150?id=s2xav3&fmt=jpg&fit=constrain,1&wid=92&hei=360&op_sharpen=1&resMode=bilin"
MAC,Pro Longwear Nourishing Waterproof Foundation,Foundation,36.00 ,3.5 ,"https://images.ulta.com/is/image/Ulta/2510925?id=npTam2&fmt=jpg&fit=constrain,1&wid=122&hei=360&op_sharpen=1&resMode=bilin"
Juvia's Place,I Am Magic Foundation,Foundation,20.00 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2550479?id=_AMa63&fmt=jpg&fit=constrain,1&wid=161&hei=359&op_sharpen=1&resMode=bilin"
Clinique,Acne Solutions Liquid Makeup,Foundation,31.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2218321?id=qisah1&fmt=jpg&fit=constrain,1&wid=213&hei=360&op_sharpen=1&resMode=bilin"
ULTA,Adjustable Coverage Foundation,Foundation,14.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2260075?id=WE2ba2&fmt=jpg&fit=constrain,1&wid=260&hei=200&op_sharpen=1&resMode=bilin"
Estée Lauder,Double Wear Stay In Place Matte Powder Foundation,Foundation,43.00 ,3.6 ,"https://images.ulta.com/is/image/Ulta/2541048?id=zCraP2&fmt=jpg&fit=constrain,1&wid=214&hei=360&op_sharpen=1&resMode=bilin"
The Ordinary,Serum Foundation,Foundation,6.70 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2570231?id=xKsbL0&fmt=jpg&fit=constrain,1&wid=120&hei=360&op_sharpen=1&resMode=bilin"
ColourPop,Pretty Fresh Foundation,Foundation,16.00 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2572867?id=gOrbC1&fmt=jpg&fit=constrain,1&wid=115&hei=359&op_sharpen=1&resMode=bilin"
Clinique,Even Better Refresh Hydrating and Repairing Makeup,Foundation,32.00 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2541679?id=wQRaz3&fmt=jpg&fit=constrain,1&wid=146&hei=360&op_sharpen=1&resMode=bilin"
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,Foundation,33.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2541270?id=paRa60&fmt=jpg&fit=constrain,1&wid=213&hei=360&op_sharpen=1&resMode=bilin"
Clinique,Stay Matte Oil-Free Makeup,Foundation,31.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2247037?id=A_Kaq1&fmt=jpg&fit=constrain,1&wid=146&hei=360&op_sharpen=1&resMode=bilin"
Clinique,Beyond Perfecting Powder Foundation + Concealer,Foundation,31.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2291647?id=Rmvan3&fmt=jpg&fit=constrain,1&wid=259&hei=361&op_sharpen=1&resMode=bilin"
Maybelline,Fit Me Matte + Poreless Liquid Foundation,Foundation,7.99 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2282906?id=3y7bp2&fmt=jpg&fit=constrain,1&wid=98&hei=358&op_sharpen=1&resMode=bilin"
Too Faced,Born This Way Undetectable Medium-to-Full Coverage Powder Foundation,Foundation,39.00 ,3.6 ,"https://images.ulta.com/is/image/Ulta/2547017?id=MiWaa0&fmt=jpg&fit=constrain,1&wid=260&hei=299&op_sharpen=1&resMode=bilin"
Estée Lauder,Double Wear Light Soft Matte Hydra Makeup,Foundation,43.00 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2531662?id=Vqxa81&fmt=jpg&fit=constrain,1&wid=137&hei=360&op_sharpen=1&resMode=bilin"
Catrice,HD Liquid Coverage Foundation,Foundation,11.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2529851?id=R6gbl1&fmt=jpg&fit=constrain,1&wid=140&hei=360&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Hydromaniac Glowy Tinted Hydrator Foundation,Foundation,29.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2567747?id=_CebY1&fmt=jpg&fit=constrain,1&wid=101&hei=361&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,Foundation,30.00 ,3.5 ,"https://images.ulta.com/is/image/Ulta/2547818?id=eFubE2&fmt=jpg&fit=constrain,1&wid=100&hei=362&op_sharpen=1&resMode=bilin"
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,Foundation,31.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2515643?id=hzkaB2&fmt=jpg&fit=constrain,1&wid=190&hei=359&op_sharpen=1&resMode=bilin"
Clinique,Superbalanced Makeup,Foundation,31.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2153594?id=gB1aq2&fmt=jpg&fit=constrain,1&wid=171&hei=361&op_sharpen=1&resMode=bilin"
It Cosmetics,Bye Bye Foundation Powder,Foundation,38.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2547707?id=W2nbg2&fmt=jpg&fit=constrain,1&wid=260&hei=270&op_sharpen=1&resMode=bilin"
Clinique,Almost Powder Makeup,Foundation,31.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2160689?id=cQzam1&fmt=jpg&fit=constrain,1&wid=260&hei=343&op_sharpen=1&resMode=bilin"
ULTA,Moisturizing Foundation Stick,Foundation,14.00 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2526377?id=H37b80&fmt=jpg&fit=constrain,1&wid=80&hei=361&op_sharpen=1&resMode=bilin"
ULTA,Mineral Powder Foundation,Foundation,14.00 ,3.9 ,"https://images.ulta.com/is/image/Ulta/2536603?id=N68b21&fmt=jpg&fit=constrain,1&wid=260&hei=143&op_sharpen=1&resMode=bilin"
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,Foundation,44.00 ,3.8 ,"https://images.ulta.com/is/image/Ulta/2528172?id=a11bu2&fmt=jpg&fit=constrain,1&wid=157&hei=360&op_sharpen=1&resMode=bilin"
