Brand,Product,Product Type,Price,Rating,Image URL
Juvia's Place,The Warrior III Eyeshadow Palette,Eyeshadow,Price$20.00,4.8 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2536097?id=083b70&fmt=jpg&fit=constrain,1&wid=260&hei=235&op_sharpen=1&resMode=bilin"
Morphe,9I So Iconic Artistry Palette,Eyeshadow,Price$12.00,3.2 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2541878?id=IoHaH1&fmt=jpg&fit=constrain,1&wid=260&hei=346&op_sharpen=1&resMode=bilin"
Tarte,Tartelette Juicy Amazonian Clay Eyeshadow Palette,Eyeshadow,Price$45.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2566180?id=uCpb_0&fmt=jpg&fit=constrain,1&wid=260&hei=265&op_sharpen=1&resMode=bilin"
Juvia's Place,The Nubian Mini Eyeshadow Palette,Eyeshadow,Price$10.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2547089?id=kZNah1&fmt=jpg&fit=constrain,1&wid=260&hei=173&op_sharpen=1&resMode=bilin"
MAC,Art Library Palette: Nude Model,Eyeshadow,Price$48.00,4.2 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2541645?id=9nTat3&fmt=jpg&fit=constrain,1&wid=260&hei=193&op_sharpen=1&resMode=bilin"
L.A. Girl,Nudes Beauty Brick Eyeshadow Palette,Eyeshadow,Price$7.99,4.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2504691?id=EiraZ3&fmt=jpg&fit=constrain,1&wid=260&hei=105&op_sharpen=1&resMode=bilin"
Too Faced,Natural Matte Neutral Eyeshadow Palette,Eyeshadow,Price$39.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2526212?id=HRBaj3&fmt=jpg&fit=constrain,1&wid=260&hei=210&op_sharpen=1&resMode=bilin"
Anastasia Beverly Hills,Norvina Eyeshadow Palette,Eyeshadow,Price$42.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2532714?id=-zJaz3&fmt=jpg&fit=constrain,1&wid=260&hei=117&op_sharpen=1&resMode=bilin"
I Heart Revolution,Rose Gold Mini Chocolate Eyeshadow Palette,Eyeshadow,Price$8.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2545533?id=ZyVax1&fmt=jpg&fit=constrain,1&wid=260&hei=155&op_sharpen=1&resMode=bilin"
Juvia's Place,The Masquerade Mini Eyeshadow Palette,Eyeshadow,Price$25.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2536081?id=F5Lau0&fmt=jpg&fit=constrain,1&wid=260&hei=173&op_sharpen=1&resMode=bilin"
Juvia's Place,The Saharan Eyeshadow Palette,Eyeshadow,Price$20.00,4.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2536083?id=wlJaA0&fmt=jpg&fit=constrain,1&wid=260&hei=175&op_sharpen=1&resMode=bilin"
Juvia's Place,Nubian 3 Eyeshadow Palette,Eyeshadow,Price$20.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2537070?id=av1bx2&fmt=jpg&fit=constrain,1&wid=237&hei=361&op_sharpen=1&resMode=bilin"
Too Faced,That's My Jam Mini Eyeshadow Palette,Eyeshadow,Price$27.00,4.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2566757?id=7vlbG0&fmt=jpg&fit=constrain,1&wid=260&hei=159&op_sharpen=1&resMode=bilin"
Morphe,18F Talkin' Flirty Artistry Palette,Eyeshadow,Price$18.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2571852?id=pL8br0&fmt=jpg&fit=constrain,1&wid=260&hei=195&op_sharpen=1&resMode=bilin"
ColourPop,Candy Castle Palette,Eyeshadow,Sale Price$14.40,3.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2567225?id=i7Uae1&fmt=jpg&fit=constrain,1&wid=260&hei=118&op_sharpen=1&resMode=bilin"
