Brand,Product,Product Type,Price,Rating,Image URL
ColourPop,Lippie Stix,Lipstick,Price$7.00,4.2 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2550428?id=TZhb_1&fmt=jpg&fit=constrain,1&wid=44&hei=356&op_sharpen=1&resMode=bilin"
Clinique,Dramatically Different Lipstick Shaping Lip Colour,Lipstick,Price$20.00,3.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2533247?id=mQXa90&fmt=jpg&fit=constrain,1&wid=152&hei=361&op_sharpen=1&resMode=bilin"
MAC,"Powder Kiss Lipstick (Werk, Werk, Werk)",Lipstick,Price$21.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2543197?id=rwGaG0&fmt=jpg&fit=constrain,1&wid=85&hei=360&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Suede Matte Lipstick,Lipstick,Price$8.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2530264?id=6bwas1&fmt=jpg&fit=constrain,1&wid=85&hei=362&op_sharpen=1&resMode=bilin"
Maybelline,Super Stay Matte Ink Liquid Lipstick Spiced Edition,Lipstick,Price$9.49,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2545892?id=JoTa60&fmt=jpg&fit=constrain,1&wid=91&hei=360&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Vice Lipstick,Lipstick,Price$19.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2303940?id=epyaD0&fmt=jpg&fit=constrain,1&wid=100&hei=359&op_sharpen=1&resMode=bilin"
NARS,Air Matte Lip Color,Lipstick,Price$26.00,3.2 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2573407?id=uQqbP2&fmt=jpg&fit=constrain,1&wid=177&hei=360&op_sharpen=1&resMode=bilin"
Morphe,Liquid Lipstick,Lipstick,Price$10.00,4.2 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2535273?id=4Svab2&fmt=jpg&fit=constrain,1&wid=169&hei=360&op_sharpen=1&resMode=bilin"
NARS,Powermatte Lip Pigment,Lipstick,Price$26.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2515839?id=Wv0aS2&fmt=jpg&fit=constrain,1&wid=174&hei=361&op_sharpen=1&resMode=bilin"
MAC,Love Me Lipstick,Lipstick,Price$21.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2548401?id=O5qb01&fmt=jpg&fit=constrain,1&wid=157&hei=360&op_sharpen=1&resMode=bilin"
