Brand,Product,Product Type,Price,Rating,Image URL
MAC,Glow Play Blush,Blush,30.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2561561?id=wRLaa3&fmt=jpg&fit=constrain,1&wid=260&hei=290&op_sharpen=1&resMode=bilin"
Tarte,Busy Gal Goals Eye & Cheek Palette,Blush,39.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2562386?id=c2CaB3&fmt=jpg&fit=constrain,1&wid=260&hei=235&op_sharpen=1&resMode=bilin"
ULTA,Too Cheeky Lip & Cheek Color Stick,Blush,10.00 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2556119?id=zDOa72&fmt=jpg&fit=constrain,1&wid=260&hei=274&op_sharpen=1&resMode=bilin"
NARS,Mini Blush,Blush,16.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2568813?id=ckVaj2&fmt=jpg&fit=constrain,1&wid=260&hei=205&op_sharpen=1&resMode=bilin"
bareMinerals,BOUNCE & BLUR Blush,Blush,29.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2549279?id=vvrbq3&fmt=jpg&fit=constrain,1&wid=260&hei=263&op_sharpen=1&resMode=bilin"
Laura Mercier,Blush Color Infusion,Blush,32.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2559921?id=qThaV3&fmt=jpg&fit=constrain,1&wid=260&hei=204&op_sharpen=1&resMode=bilin"
Clinique,Soft-Pressed Powder Blusher,Blush,26.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2223180?id=Cgwan2&fmt=jpg&fit=constrain,1&wid=260&hei=193&op_sharpen=1&resMode=bilin"
NARS,Air Matte Blush,Blush,30.00 ,3.9 ,"https://images.ulta.com/is/image/Ulta/2573403?id=bflbO1&fmt=jpg&fit=constrain,1&wid=260&hei=163&op_sharpen=1&resMode=bilin"
e.l.f. Cosmetics,Powder Blush Palette,Blush,8.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2535584?id=sd1aR2&fmt=jpg&fit=constrain,1&wid=260&hei=262&op_sharpen=1&resMode=bilin"
Too Faced,Sweetheart Perfect Flush Blush,Blush,30.00 ,4.7 ,"https://images.ulta.com/is/image/Ulta/2268369?id=Ns2bC0&fmt=jpg&fit=constrain,1&wid=260&hei=208&op_sharpen=1&resMode=bilin"
Stila,Convertible Color,Blush,25.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2153892?id=6hLaw3&fmt=jpg&fit=constrain,1&wid=260&hei=259&op_sharpen=1&resMode=bilin"
Honest Beauty,Crème Cheek Blush,Blush,13.00 ,4.8 ,"https://images.ulta.com/is/image/Ulta/2566418?id=lK_a50&fmt=jpg&fit=constrain,1&wid=260&hei=280&op_sharpen=1&resMode=bilin"
NYX Professional Makeup,Sweet Cheeks Creamy Powder Blush (Matte),Blush,7.50 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2547408?id=CXnbz0&fmt=jpg&fit=constrain,1&wid=260&hei=259&op_sharpen=1&resMode=bilin"
Clinique,Sculptionary Cheek Contouring Palette,Blush,36.50 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2282737?id=3tKa72&fmt=jpg&fit=constrain,1&wid=260&hei=261&op_sharpen=1&resMode=bilin"
FLOWER Beauty,Blush Bomb Color Drops,Blush,9.99 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2533041?id=yXlaU1&fmt=jpg&fit=constrain,1&wid=121&hei=360&op_sharpen=1&resMode=bilin"
e.l.f. Cosmetics,Monochromatic Multi Stick,Blush,4.00 ,3.8 ,"https://images.ulta.com/is/image/Ulta/2567184?id=YeNad0&fmt=jpg&fit=constrain,1&wid=260&hei=237&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Gold Rush Golden Nectar Blush Mini,Blush,17.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2525475?id=ixYav1&fmt=jpg&fit=constrain,1&wid=260&hei=199&op_sharpen=1&resMode=bilin"
e.l.f. Cosmetics,Primer-Infused Blush,Blush,6.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2538864?id=dXQa11&fmt=jpg&fit=constrain,1&wid=260&hei=263&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,GALifornia Sunny Golden Pink Blush Mini,Blush,17.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2506449?id=pQEag3&fmt=jpg&fit=constrain,1&wid=260&hei=191&op_sharpen=1&resMode=bilin"
Petite 'n Pretty,9021-Glow! Eye & Cheek Palette,Blush,25.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2555892?id=1x5bg3&fmt=jpg&fit=constrain,1&wid=260&hei=172&op_sharpen=1&resMode=bilin"
Anastasia Beverly Hills,Blush Trios,Blush,30.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2510400?id=iwXad0&fmt=jpg&fit=constrain,1&wid=260&hei=237&op_sharpen=1&resMode=bilin"
Milani,Rose Powder Blush,Blush,9.49 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2529600?id=8ZVaD2&fmt=jpg&fit=constrain,1&wid=260&hei=261&op_sharpen=1&resMode=bilin"
Tarte,Sugar Rush - Beach Cheeks Cream Blush,Blush,15.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2539182?id=rDwar3&fmt=jpg&fit=constrain,1&wid=260&hei=322&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Rockateur Rose Gold Blush Mini,Blush,30.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2264741?id=I44bo2&fmt=jpg&fit=constrain,1&wid=260&hei=221&op_sharpen=1&resMode=bilin"
Estée Lauder,Pure Color Envy Sculpting Blush,Blush,38.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2309287?id=hs1a81&fmt=jpg&fit=constrain,1&wid=247&hei=360&op_sharpen=1&resMode=bilin"
COVER FX,Perfector Face Palette,Blush,45.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2541445?id=gmBan3&fmt=jpg&fit=constrain,1&wid=255&hei=360&op_sharpen=1&resMode=bilin"
ULTA,Sunkissed Mini Face Trio,Blush,10.00 ,4.4 ,"https://images.ulta.com/is/image/Ulta/2558169?id=WvUa-2&fmt=jpg&fit=constrain,1&wid=260&hei=133&op_sharpen=1&resMode=bilin"
